user_id,home_city,home_lat,home_lon,preferred_categories,avg_spend,active_hour_center,card_age_days
user_00000,Los Angeles,34.0522,-118.2437,"['entertainment', 'clothing', 'electronics']",44.61314255803931,11,601
user_00001,Los Angeles,34.0522,-118.2437,"['home_goods', 'streaming', 'grocery']",30.479106597928702,8,413
user_00002,Houston,29.7604,-95.3698,"['travel', 'home_goods', 'grocery', 'entertainment']",48.843100149886624,11,2962
user_00003,Delhi,28.7041,77.1025,"['ride_share', 'home_goods', 'clothing', 'grocery']",82.58416159074523,20,683
user_00004,Delhi,28.7041,77.1025,"['clothing', 'gas_station', 'electronics', 'pharmacy', 'restaurant']",28.775029366572934,9,1586
user_00005,Los Angeles,34.0522,-118.2437,"['pharmacy', 'home_goods', 'clothing', 'grocery', 'ride_share']",28.77531282112912,16,541
user_00006,Delhi,28.7041,77.1025,"['travel', 'clothing', 'home_goods']",85.41550906683793,22,1511
user_00007,Houston,29.7604,-95.3698,"['grocery', 'utilities', 'electronics']",52.481505822681314,20,1215
user_00008,Los Angeles,34.0522,-118.2437,"['restaurant', 'streaming', 'clothing', 'ride_share']",24.98599251492989,18,1524
user_00009,Chicago,41.8781,-87.6298,"['pharmacy', 'electronics', 'clothing', 'restaurant', 'gas_station']",45.85737453153911,16,1032
user_00010,Chicago,41.8781,-87.6298,"['streaming', 'clothing', 'travel', 'electronics', 'pharmacy', 'entertainment']",25.076957191776795,20,259
user_00011,Houston,29.7604,-95.3698,"['pharmacy', 'streaming', 'clothing']",25.042193640795595,9,894
user_00012,Bengaluru,12.9716,77.5946,"['utilities', 'ride_share', 'streaming', 'entertainment']",38.28956339886567,10,1114
user_00013,Chicago,41.8781,-87.6298,"['entertainment', 'travel', 'utilities', 'clothing']",10.506896522306214,19,2424
user_00014,Delhi,28.7041,77.1025,"['pharmacy', 'electronics', 'gas_station', 'travel', 'ride_share', 'grocery']",11.764062111736244,20,222
user_00015,Los Angeles,34.0522,-118.2437,"['utilities', 'gas_station', 'streaming', 'restaurant']",23.63260868937906,14,1593
user_00016,London,51.5074,-0.1278,"['travel', 'grocery', 'restaurant', 'entertainment', 'clothing']",18.034765788980515,20,2655
user_00017,Bengaluru,12.9716,77.5946,"['clothing', 'streaming', 'gas_station']",39.986760009429645,15,43
user_00018,Mumbai,19.076,72.8777,"['travel', 'restaurant', 'clothing', 'entertainment']",19.20528602007086,17,844
user_00019,Chicago,41.8781,-87.6298,"['gas_station', 'travel', 'utilities', 'grocery', 'pharmacy']",14.191139332838121,15,109
user_00020,Los Angeles,34.0522,-118.2437,"['clothing', 'electronics', 'grocery', 'utilities', 'restaurant']",79.78928811940821,9,2020
user_00021,Los Angeles,34.0522,-118.2437,"['gas_station', 'utilities', 'ride_share', 'travel']",28.920023784324307,10,1115
user_00022,Delhi,28.7041,77.1025,"['travel', 'electronics', 'clothing', 'streaming']",34.484740533404924,18,2691
user_00023,Bengaluru,12.9716,77.5946,"['travel', 'ride_share', 'restaurant', 'electronics', 'entertainment', 'grocery']",14.085573087258972,13,116
user_00024,Houston,29.7604,-95.3698,"['grocery', 'restaurant', 'entertainment', 'electronics']",23.887859646183006,9,158
user_00025,Bengaluru,12.9716,77.5946,"['travel', 'electronics', 'clothing']",35.39439781582137,18,2018
user_00026,Houston,29.7604,-95.3698,"['entertainment', 'home_goods', 'utilities', 'ride_share']",16.600019225867538,11,1967
user_00027,Delhi,28.7041,77.1025,"['restaurant', 'entertainment', 'streaming', 'pharmacy']",41.48860499118494,14,1713
user_00028,London,51.5074,-0.1278,"['utilities', 'entertainment', 'restaurant']",23.095014830831957,8,1679
user_00029,Bengaluru,12.9716,77.5946,"['electronics', 'entertainment', 'utilities']",27.79854691606,16,1867
user_00030,Chicago,41.8781,-87.6298,"['gas_station', 'clothing', 'ride_share', 'electronics', 'restaurant', 'travel']",23.080221361859984,20,2284
user_00031,Los Angeles,34.0522,-118.2437,"['utilities', 'travel', 'grocery']",100.62159641358114,9,998
user_00032,Chicago,41.8781,-87.6298,"['ride_share', 'entertainment', 'electronics', 'streaming', 'grocery', 'restaurant']",32.84835492063741,14,38
user_00033,Delhi,28.7041,77.1025,"['ride_share', 'clothing', 'streaming', 'travel', 'entertainment']",17.55560799294971,10,807
user_00034,Mumbai,19.076,72.8777,"['grocery', 'home_goods', 'travel', 'entertainment']",54.24587470699921,19,1314
user_00035,New York,40.7128,-74.006,"['home_goods', 'ride_share', 'travel']",15.918688717256483,22,2205
user_00036,Chicago,41.8781,-87.6298,"['travel', 'restaurant', 'gas_station']",37.5366638124548,9,2467
