transaction_id,user_id,timestamp,amount,merchant_category,latitude,longitude,card_age_days_at_tx,channel,device_id,auth_confidence,dispute_filed,dispute_narrative_similarity,otp_override,is_fraud,attack_type
ac496a47-3096-4054-a34f-7999ec79eaa4,user_00270,2026-06-01 03:58:00,126.6,ride_share,41.8864,-87.6576,2560,call_center,dev_f6123ddb,0.9046,0,0.0,0,0,none
0878a05a-e8e8-47e0-96f8-3d9337db911f,user_00143,2026-06-01 04:01:00,74.78,gas_station,40.7314,-74.004,773,pos,dev_47b6ff89,0.9591,0,0.0,0,0,none
79ba8550-038a-4a74-b80f-d1c6b68c12ed,user_00016,2026-06-01 04:04:00,11.53,clothing,51.6022,-0.1672,1016,ecom,dev_9b059653,0.8852,0,0.0,0,0,none
e574bea5-6205-48b8-aff6-8c745dd5abc9,user_00201,2026-06-01 04:13:00,94.46,travel,13.0886,77.5894,2631,pos,dev_f8b7b0de,0.8821,0,0.0,0,0,none
9d04e56b-b37e-4872-bf51-1991128d60d1,user_00282,2026-06-01 05:08:00,56.48,streaming,51.4745,-0.125,2563,pos,dev_094568b9,0.8983,0,0.0,0,0,none
bd79a682-f23d-4367-bed0-59b469ba1d37,user_00347,2026-06-01 05:20:00,11.55,ride_share,29.7548,-95.3326,174,ecom,dev_dfa6a68b,0.9547,0,0.0,0,0,none
114a81da-f461-4ee8-8d36-b65cadff13fa,user_00471,2026-06-01 06:01:00,7.81,pharmacy,19.1763,72.9409,2162,pos,dev_616020be,0.9901,0,0.0,0,0,none
561e90fa-210f-407a-9e53-ccb269ad3ea7,user_00061,2026-06-01 06:15:00,34.72,streaming,28.7106,77.1015,1622,ecom,dev_09bafc07,0.9474,0,0.0,0,0,none
df8a045b-927d-4554-965b-21196edd63da,user_00260,2026-06-01 06:16:00,33.02,restaurant,40.8102,-73.9643,1382,pos,dev_853c9a0b,0.8939,0,0.0,0,0,none
1f593eb9-8b25-47c4-a89e-ce3a0e3dd24f,user_00478,2026-06-01 06:46:00,124.86,pharmacy,29.8339,-95.283,388,pos,dev_626a310b,0.9477,0,0.0,0,0,none
a7b5dc6f-5ee2-4bba-ac1d-6a9e288eaadf,user_00379,2026-06-01 06:50:00,20.0,streaming,19.0796,72.8273,2497,pos,dev_cae79828,0.9741,0,0.0,0,0,none
8a3c5d17-929b-4b0f-9710-98876da1b17c,user_00449,2026-06-01 07:11:00,24.69,restaurant,29.7307,-95.4334,2071,pos,dev_4502d993,0.9554,0,0.0,0,0,none
d712c603-ccd6-4f65-a546-e0c8cdaed344,user_00246,2026-06-01 07:23:00,18.31,ride_share,51.5699,-0.1307,2132,pos,dev_2ccf3c44,0.9038,0,0.0,0,0,none
72e37ed1-995d-4593-9e36-1a1c69a84745,user_00334,2026-06-01 07:24:00,105.26,entertainment,19.017,72.8909,2676,pos,dev_38b5ea69,0.9256,0,0.0,0,0,none
3eb74ba7-a90a-4515-84ad-1c1c30399165,user_00343,2026-06-01 07:31:00,57.7,travel,40.7568,-73.9687,1553,pos,dev_bfa6381e,0.9623,0,0.0,0,0,none
dd65b9a0-cc94-4b0c-b923-5cd521b345e5,user_00238,2026-06-01 07:32:00,10.21,ride_share,33.959,-118.2262,1098,ecom,dev_cc1c807c,0.9605,0,0.0,0,0,none
230ba2ea-0455-4f0b-975f-844e50786014,user_00126,2026-06-01 07:34:00,24.84,electronics,51.5029,-0.1622,1396,pos,dev_325903f8,0.956,0,0.0,0,0,none
a77a84c6-8929-463d-a7ba-ab9014a7968b,user_00473,2026-06-01 07:34:00,170.35,entertainment,29.7524,-95.3384,2769,app_biometric,dev_e8406e39,0.872,0,0.0,0,0,none
ecbdfc5a-c677-4c4a-9f46-872560c49aad,user_00449,2026-06-01 07:37:00,18.2,restaurant,29.7493,-95.3252,2071,ecom,dev_c026ed6b,0.902,0,0.0,0,0,none
97c0217d-8392-4316-8bac-058b7c68a19d,user_00017,2026-06-01 07:42:00,60.1,ride_share,33.9226,-118.2178,2732,app_biometric,dev_f2526a63,0.9755,0,0.0,0,0,none
276f6d60-b19e-41c2-80d9-c3839508936f,user_00471,2026-06-01 07:44:00,13.83,entertainment,19.0975,72.9081,2162,pos,dev_a2f53496,0.9233,0,0.0,0,0,none
4009eea4-42f0-40a0-85f9-e1a1a75778d9,user_00339,2026-06-01 07:47:00,70.09,travel,28.7259,77.0649,372,pos,dev_71cf9970,0.9827,0,0.0,0,0,none
ee8e6d4f-4d58-4626-9aed-45584e6b2b28,user_00229,2026-06-01 07:47:00,55.86,travel,51.4935,-0.1554,477,ecom,dev_0fac7c32,0.882,0,0.0,0,0,none
dfd89438-60dc-4598-94a7-113a8d0125f1,user_00249,2026-06-01 08:00:00,14.4,ride_share,40.7022,-74.0554,584,pos,dev_9820ec20,0.9644,0,0.0,0,0,none
117d9f0b-b8b7-415c-8801-75e439e3dfc5,user_00373,2026-06-01 08:03:00,40.12,home_goods,40.7975,-73.9436,2038,ecom,dev_8812acb5,0.946,0,0.0,0,0,none
d58c3da6-97af-4098-b844-93042be1b20b,user_00086,2026-06-01 08:17:00,30.27,electronics,34.0176,-118.2111,1703,pos,dev_1580392b,0.9927,0,0.0,0,0,none
68a80dab-3cc7-4ed5-9543-73efb388861c,user_00166,2026-06-01 08:18:00,76.69,pharmacy,40.6681,-74.0786,593,ecom,dev_4ef80cc9,0.9085,0,0.0,0,0,none
196da663-1a6d-4814-99a4-8fe9e5688f3f,user_00102,2026-06-01 08:32:00,58.44,streaming,28.7125,77.0886,1333,pos,dev_da021e2b,0.9662,0,0.0,0,0,none
e5b498c3-bbfb-455b-9827-1aa8f6c4d76f,user_00392,2026-06-01 08:36:00,14.22,clothing,13.0054,77.6712,956,pos,dev_29fe3e38,0.9046,0,0.0,0,0,none
6d0e4392-254c-4e6b-9dc3-d9ebb40bd293,user_00403,2026-06-01 08:36:00,25.65,entertainment,29.7505,-95.3475,1413,ecom,dev_08f3b4e4,0.9017,0,0.0,0,0,none
90ca45e8-f8a6-416b-8f54-e603cbf76856,user_00403,2026-06-01 08:39:00,40.47,entertainment,29.7718,-95.4264,1413,app_biometric,dev_c903487e,0.9883,0,0.0,0,0,none
28a407bc-6ed2-4127-b288-c965c30ea4c3,user_00364,2026-06-01 08:41:00,28.1,ride_share,40.6908,-74.0679,1388,pos,dev_784bfed1,0.9937,0,0.0,0,0,none
8b52edfb-72d2-49c2-9bf7-19d96ca234b3,user_00406,2026-06-01 08:44:00,14.24,gas_station,51.5126,-0.1304,2177,ecom,dev_d1c77653,0.8791,0,0.0,0,0,none
81d76e0f-62c9-44ef-8a76-68429befabd4,user_00359,2026-06-01 08:50:00,55.67,ride_share,12.9481,77.6441,675,pos,dev_ccf93d22,0.9352,0,0.0,0,0,none
30a2c906-00c0-4fbb-8f63-5115a8f85300,user_00449,2026-06-01 08:50:00,35.48,ride_share,29.7581,-95.3662,2071,ecom,dev_4502d993,0.9223,0,0.0,0,0,none
5ce3426b-f759-452a-88fc-378b60bfde0a,user_00375,2026-06-01 09:02:00,20.97,pharmacy,51.483,-0.1996,2966,ecom,dev_1bf8369b,0.9684,0,0.0,0,0,none
d6418842-b432-4f2f-99f6-5525b88d50d0,user_00211,2026-06-01 09:02:00,57.04,clothing,51.4666,-0.1252,911,ecom,dev_85692e25,0.8693,0,0.0,0,0,none
eaf351e6-775c-47af-9b63-71de75b7037c,user_00102,2026-06-01 09:06:00,17.81,travel,28.6836,77.1763,1333,pos,dev_1b279678,0.8887,0,0.0,0,0,none
e06d8965-b342-4cf4-b4e1-1a789daa3b79,user_00163,2026-06-01 09:06:00,43.22,streaming,40.7183,-73.9017,2994,pos,dev_9c1d6021,0.958,0,0.0,0,0,none
9e1f9770-3e37-4c6d-8501-2bef9bca71d7,user_00198,2026-06-01 09:07:00,32.5,home_goods,34.0151,-118.1645,1328,pos,dev_218c5f3b,0.9052,0,0.0,0,0,none
92cb9bc7-0384-46a3-bee1-8e495bf93447,user_00122,2026-06-01 09:10:00,63.76,restaurant,40.6251,-73.9772,2231,ecom,dev_1ea76816,0.9504,0,0.0,0,0,none
ba1c483f-95b4-412f-b96d-3802061781f5,user_00374,2026-06-01 09:19:00,93.65,electronics,40.6778,-73.9997,2186,ecom,dev_258d2d76,0.8943,0,0.0,0,0,none
884ac3d2-7443-4158-8e26-197fd95cb784,user_00418,2026-06-01 09:19:00,78.29,travel,29.71,-95.2684,429,pos,dev_3276ef87,0.938,0,0.0,0,0,none
770cb673-3c5e-4d72-a306-26384a3a726d,user_00164,2026-06-01 09:23:00,35.15,gas_station,41.96,-87.6168,2467,pos,dev_d9e1c6e5,0.8814,0,0.0,0,0,none
50d089d0-5856-4d2b-8e14-f87978a78d7f,user_00359,2026-06-01 09:23:00,15.74,utilities,12.9453,77.4981,675,pos,dev_5c13f728,0.8776,0,0.0,0,0,none
2221b57a-0dcb-4c04-9f56-e61806259bc6,user_00145,2026-06-01 09:23:00,36.4,clothing,41.9661,-87.6448,2560,pos,dev_58835801,0.9675,0,0.0,0,0,none
132581f3-600f-49ba-9509-388e84179d30,user_00057,2026-06-01 09:24:00,11.29,ride_share,51.4548,-0.1235,1405,pos,dev_a0aa9cb9,0.9152,0,0.0,0,0,none
3c7745eb-9f10-4da6-a66c-45ec6daa256a,user_00020,2026-06-01 09:41:00,57.86,grocery,34.0917,-118.2152,2929,ecom,dev_3f4d6329,0.8787,0,0.0,0,0,none
0c40c56d-3961-4931-ba9e-e1df4d25fccd,user_00458,2026-06-01 09:43:00,65.31,gas_station,51.4623,-0.1517,2723,pos,dev_d9170bc3,0.9638,0,0.0,0,0,none
